"Bill of Material for "
"On 21.11.2016 at 14:08:18"

"Comment","Pattern","Quantity","Components"

"ADC0844CNN","ADC0844CNN PLCC 28-PIN","1","ADC0844CNN","ADC - Analogue to Digital Converter"
"ATMEGA162","ATmega162 TQFP 44-pin","1","ATMEGA162","Atmega162 MicroControllerUnit"
"Button header","HDR1X3","1","Buttons","Header, 3-Pin"
"CAN controller","MCP2515 SOIC 18-PIN","1","MCP2515","CAN controller"
"CAN Header","HDR1X2","1","CAN","Header, 2-Pin"
"CAN transceiver","MACP2551 SOIC 8-PIN","1","MCP2551","CAN Transceiver"
"Cap","C1210","17","C1, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18","Capacitor (Semiconductor SIM Model)"
"D Connector 25","DSUB1.385-2H25A","1","J4","Receptacle Assembly, 25 Position, Right Angle"
"Diode 1N4002","DO-41","1","D1","1 Amp General Purpose Rectifier"
"D-latch","D-Latch SOIC 20-PIN","1","SN74ALS573","D-Latch"
"GAL16V8D-15QP","GAL 16V8D-10LJ/-10QL PLCC 20-PIN","1","GAL16V8D-15QP","GAL - Generic Array Logic"
"Input1 header","HDR1X5","1","Joystick&Slider","Header, 5-Pin"
"JTAG","HDR2X5","1","JTAG","Header, 5-Pin, Dual row"
"Jumper header","HDR1X2","1","TermJump","Header, 2-Pin"
"OLED Header","HDR1X12","1","OLED","Header, 12-Pin"
"Power header","HDR1X2","1","POWER","Header, 2-Pin"
"Res","14-1210","7","R1, R2, R3, R5, R6, R7, R8","Resistor"
"Res1","14-1210","1","R4","Resistor"
"SRAM","CY7C185 SOIC 28-PIN","1","CY7C185","SRAM - Static Random Access Memory"
"SW-PB","SPST-2","1","S1","Switch"
"USART transceiver","MAX233 SOIC 20-PIN","1","MAX233","Maxim RS232 transceiver"
"Voltage regulator","MC7805 DPAK 3-PIN","1","MC7805","MC7805 Voltage Regulator"
"XTAL","R38","2","Y1, Y2","Crystal Oscillator"
